Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
Chantelle Michell-Newbery,27,2004,08/29/2004,1,0,1,2
Robert Newbery,25,2004,08/29/2004,0,0,2,2
Yuliya Pakhalina,26,2004,08/29/2004,0,1,1,2
Tian Liang,24,2004,08/29/2004,1,0,1,2
Wu Minxia,18,2004,08/29/2004,1,1,0,2
Fu Mingxia,22,2000,10/01/2000,1,1,0,2
Guo Jingjing,18,2000,10/01/2000,0,2,0,2
Hu Jia,17,2000,10/01/2000,0,2,0,2
Li Na,16,2000,10/01/2000,1,1,0,2
Anne Montminy,25,2000,10/01/2000,0,1,1,2
Tian Liang,21,2000,10/01/2000,1,1,0,2
Xiong Ni,26,2000,10/01/2000,2,0,0,2
Grégory Baugé,27,2012,08/12/2012,0,2,0,2
Ed Clancy,27,2012,08/12/2012,1,0,1,2
Sarah Hammer,28,2012,08/12/2012,0,2,0,2
Chris Hoy,36,2012,08/12/2012,2,0,0,2
Jason Kenny,24,2012,08/12/2012,2,0,0,2
Maximilian Levy,25,2012,08/12/2012,0,1,1,2
Anna Meares,28,2012,08/12/2012,1,0,1,2
Vicki Pendleton,31,2012,08/12/2012,1,1,0,2
Laura Trott,20,2012,08/12/2012,2,0,0,2
Olga Zabelinskaya,32,2012,08/12/2012,0,0,2,2
Mickaël Bourgain,28,2008,08/24/2008,0,1,1,2
Fabian Cancellara,27,2008,08/24/2008,1,1,0,2
Jason Kenny,20,2008,08/24/2008,1,1,0,2
Joan Llaneras,39,2008,08/24/2008,1,1,0,2
Hayden Roulston,27,2008,08/24/2008,0,1,1,2
Bradley Wiggins,28,2008,08/24/2008,2,0,0,2
Ryan Bayley,22,2004,08/29/2004,2,0,0,2
Graeme Brown,25,2004,08/29/2004,2,0,0,2
Sergi Escobar,29,2004,08/29/2004,0,0,2,2
Rob Hayles,31,2004,08/29/2004,0,1,1,2
Brad McGee,28,2004,08/29/2004,1,1,0,2
Anna Meares,20,2004,08/29/2004,1,0,1,2
Stefan Nimke,26,2004,08/29/2004,1,0,1,2
Olga Slyusareva,35,2004,08/29/2004,1,0,1,2
Arnaud Tournant,26,2004,08/29/2004,0,1,1,2
René Wolff,26,2004,08/29/2004,1,0,1,2
Leontien Zijlaard-van Moorsel,34,2004,08/29/2004,1,0,1,2
Félicia Ballanger,29,2000,10/01/2000,2,0,0,2
Robert Bartko,24,2000,10/01/2000,2,0,0,2
Jens Fiedler,30,2000,10/01/2000,0,0,2,2
Jens Lehmann,32,2000,10/01/2000,1,1,0,2
Gary Neiwand,34,2000,10/01/2000,0,1,1,2
Jason Queally,30,2000,10/01/2000,1,1,0,2
Jan Ullrich,26,2000,10/01/2000,1,1,0,2
Lukáš Bauer,32,2010,02/28/2010,0,0,2,2
Anna Haag,23,2010,02/28/2010,0,2,0,2
Marcus Hellner,24,2010,02/28/2010,2,0,0,2
Charlotte Kalla,22,2010,02/28/2010,1,1,0,2
Claudia Künzel-Nystad,32,2010,02/28/2010,1,1,0,2
Aino-Kaisa Saarinen,31,2010,02/28/2010,0,0,2,2
Evi Sachenbacher-Stehle,29,2010,02/28/2010,1,1,0,2
Axel Teichmann,30,2010,02/28/2010,0,2,0,2
Tobias Angerer,28,2006,02/26/2006,0,1,1,2
Yuliya Chepalova,29,2006,02/26/2006,1,1,0,2
Yevgeny Dementyev,23,2006,02/26/2006,1,1,0,2
Giorgio Di Centa,33,2006,02/26/2006,2,0,0,2
Thobias Fredriksson,30,2006,02/26/2006,1,0,1,2
Claudia Künzel-Nystad,28,2006,02/26/2006,0,2,0,2
Björn Lind,27,2006,02/26/2006,2,0,0,2
Yevgeniya Medvedeva,29,2006,02/26/2006,1,0,1,2
Katerina Neumannová,32,2006,02/26/2006,1,1,0,2
Pietro Piller Cottrer,31,2006,02/26/2006,1,0,1,2
Kristina Šmigun-Vähi,28,2006,02/26/2006,2,0,0,2
Thomas Alsgaard,30,2002,02/24/2002,2,0,0,2
Viola Bauer,25,2002,02/24/2002,1,0,1,2
Anita Moen-Guidon,34,2002,02/24/2002,0,1,1,2
Katerina Neumannová,28,2002,02/24/2002,0,2,0,2
Evi Sachenbacher-Stehle,21,2002,02/24/2002,1,1,0,2
Kristen Skjeldal,34,2002,02/24/2002,1,0,1,2
Andrus Veerpalu,31,2002,02/24/2002,1,1,0,2
Cristian Zorzi,29,2002,02/24/2002,0,1,1,2
Tina Dietze,24,2012,08/12/2012,1,1,0,2
Natasa Douchev-Janics,30,2012,08/12/2012,0,1,1,2
Katalin Kovács,36,2012,08/12/2012,1,1,0,2
Danuta Kozák,25,2012,08/12/2012,2,0,0,2
Inna Osypenko-Radomska,29,2012,08/12/2012,0,2,0,2
Franziska Weber,23,2012,08/12/2012,1,1,0,2
Tim Brabants,31,2008,08/24/2008,1,0,1,2
David Cal,25,2008,08/24/2008,0,2,0,2
Natasa Douchev-Janics,26,2008,08/24/2008,1,1,0,2
Christian Gille,32,2008,08/24/2008,0,1,1,2
Katalin Kovács,32,2008,08/24/2008,1,1,0,2
Vadim Makhnyov,28,2008,08/24/2008,1,0,1,2
Roman Petrushenko,27,2008,08/24/2008,1,0,1,2
Katrin Wagner-Augustin,30,2008,08/24/2008,1,0,1,2
Ken Wallace,25,2008,08/24/2008,1,0,1,2
Tomasz Wylenzek,25,2008,08/24/2008,0,1,1,2
Nathan Baggaley,28,2004,08/29/2004,0,2,0,2
David Cal,21,2004,08/29/2004,1,1,0,2
Andreas Dittmer,32,2004,08/29/2004,1,1,0,2
Natasa Douchev-Janics,22,2004,08/29/2004,2,0,0,2
Birgit Fischer-Schmidt,42,2004,08/29/2004,1,1,0,2
Aleksandr Kostoglod,30,2004,08/29/2004,0,1,1,2
Katalin Kovács,28,2004,08/29/2004,1,1,0,2
Aleksandr Kovalyov,29,2004,08/29/2004,0,1,1,2
Eirik Verås Larsen,28,2004,08/29/2004,1,0,1,2
Carolin Leonhardt,19,2004,08/29/2004,1,1,0,2
Adam Van Koeverden,22,2004,08/29/2004,1,0,1,2
Andreas Dittmer,28,2000,10/01/2000,1,0,1,2
Birgit Fischer-Schmidt,38,2000,10/01/2000,2,0,0,2
Knut Holmann,32,2000,10/01/2000,2,0,0,2
Zoltán Kammerer,22,2000,10/01/2000,2,0,0,2
Katalin Kovács,24,2000,10/01/2000,0,2,0,2
Petar Merkov,23,2000,10/01/2000,0,2,0,2
Florin Popescu,26,2000,10/01/2000,1,0,1,2
Mitica Pricop,22,2000,10/01/2000,1,0,1,2
Botond Storcz,25,2000,10/01/2000,2,0,0,2
Szilvia Szabó,21,2000,10/01/2000,0,2,0,2
Katrin Wagner-Augustin,22,2000,10/01/2000,2,0,0,2
Kevin Kuske,31,2010,02/28/2010,1,1,0,2
André Lange,36,2010,02/28/2010,1,1,0,2
Martin Annen,32,2006,02/26/2006,0,0,2,2
Beat Hefti,28,2006,02/26/2006,0,0,2,2
Kevin Kuske,27,2006,02/26/2006,2,0,0,2
André Lange,32,2006,02/26/2006,2,0,0,2
Ole Einar Bjørndalen,36,2010,02/28/2010,1,1,0,2
Marie Laure Brunet,21,2010,02/28/2010,0,1,1,2
Marie Dorin,23,2010,02/28/2010,0,1,1,2
Simone Hauswald,30,2010,02/28/2010,0,0,2,2
Vincent Jay,24,2010,02/28/2010,1,0,1,2
Anastasia Kuzmina,25,2010,02/28/2010,1,1,0,2
Christoph Sumann,34,2010,02/28/2010,0,2,0,2
Yevgeny Ustyugov,24,2010,02/28/2010,1,0,1,2
Olga Zaytseva,31,2010,02/28/2010,1,1,0,2
Florence Baverel-Robert,31,2006,02/26/2006,1,0,1,2
Vincent Defrasne,28,2006,02/26/2006,1,0,1,2
Halvard Hanevold,36,2006,02/26/2006,0,1,1,2
Svetlana Ishmuratova,33,2006,02/26/2006,2,0,0,2
Anna-Carin Olofsson-Zidek,32,2006,02/26/2006,1,1,0,2
Uschi Disl,31,2002,02/24/2002,1,1,0,2
Sven Fischer,30,2002,02/24/2002,0,2,0,2
Ricco Groß,31,2002,02/24/2002,0,1,1,2
Andrea Henkel,24,2002,02/24/2002,2,0,0,2
Frank Luck,34,2002,02/24/2002,0,2,0,2
Raphaël Poirée,27,2002,02/24/2002,0,1,1,2
Olga Pylyova-Medvedtseva,26,2002,02/24/2002,1,0,1,2
Liv Grete Skjelbreid-Poirée,27,2002,02/24/2002,0,2,0,2
Magdalena Wallin-Forsberg,34,2002,02/24/2002,0,0,2,2
Zhao Yunlei,25,2012,08/12/2012,2,0,0,2
Lee Hyo-Jeong,27,2008,08/24/2008,1,1,0,2
Yu Yang,22,2008,08/24/2008,1,0,1,2
Gao Ling,25,2004,08/29/2004,1,1,0,2
Gao Ling,21,2000,10/01/2000,1,0,1,2
Nataliya Antyukh,31,2012,08/12/2012,1,1,0,2
Veronica Campbell-Brown,30,2012,08/12/2012,0,1,1,2
Vivian Cheruiyot,28,2012,08/12/2012,0,1,1,2
Will Claye,21,2012,08/12/2012,0,1,1,2
Tirunesh Dibaba,27,2012,08/12/2012,1,0,1,2
Mo Farah,29,2012,08/12/2012,2,0,0,2
Justin Gatlin,30,2012,08/12/2012,0,1,1,2
Lalonde Gordon,23,2012,08/12/2012,0,0,2,2
Sanya Richards-Ross,27,2012,08/12/2012,2,0,0,2
DeeDee Trotter,29,2012,08/12/2012,1,0,1,2
Elvan Abeylegesse,25,2008,08/24/2008,0,2,0,2
Kenenisa Bekele,26,2008,08/24/2008,2,0,0,2
Kerron Clement,22,2008,08/24/2008,1,1,0,2
Tirunesh Dibaba,23,2008,08/24/2008,2,0,0,2
Walter Dix,22,2008,08/24/2008,0,0,2,2
Allyson Felix,22,2008,08/24/2008,1,1,0,2
Yuliya Gushchina,25,2008,08/24/2008,1,1,0,2
Tatyana Lebedeva,32,2008,08/24/2008,0,2,0,2
LaShawn Merritt,22,2008,08/24/2008,2,0,0,2
David Neville,24,2008,08/24/2008,1,0,1,2
Sanya Richards-Ross,23,2008,08/24/2008,1,0,1,2
Kerron Stewart,24,2008,08/24/2008,0,1,1,2
Jared Tallent,23,2008,08/24/2008,0,1,1,2
Angelo Taylor,29,2008,08/24/2008,2,0,0,2
Richard Thompson,23,2008,08/24/2008,0,2,0,2
Jeremy Wariner,24,2008,08/24/2008,1,1,0,2
Shericka Williams,22,2008,08/24/2008,0,1,1,2
Nataliya Antyukh,23,2004,08/29/2004,0,1,1,2
Kenenisa Bekele,22,2004,08/29/2004,1,1,0,2
Derrick Brew,26,2004,08/29/2004,1,0,1,2
Shawn Crawford,26,2004,08/29/2004,1,1,0,2
Hicham El Guerrouj,29,2004,08/29/2004,2,0,0,2
Maurice Greene,30,2004,08/29/2004,0,1,1,2
Otis Harris,22,2004,08/29/2004,1,1,0,2
Kelly Holmes,34,2004,08/29/2004,2,0,0,2
Tatyana Lebedeva,28,2004,08/29/2004,1,0,1,2
Jeremy Wariner,20,2004,08/29/2004,2,0,0,2
Ato Boldon,26,2000,10/01/2000,0,1,1,2
Pauline Davis-Thompson,34,2000,10/01/2000,2,0,0,2
Lorraine Graham,27,2000,10/01/2000,0,2,0,2
Maurice Greene,26,2000,10/01/2000,2,0,0,2
Greg Haughton,26,2000,10/01/2000,0,1,1,2
Deon Hemmings,31,2000,10/01/2000,0,2,0,2
Robert Korzeniowski,32,2000,10/01/2000,2,0,0,2
Tayna Lawrence,25,2000,10/01/2000,0,2,0,2
Beverly McDonald,30,2000,10/01/2000,0,1,1,2
Merlene Ottey-Page,40,2000,10/01/2000,0,1,1,2
Irina Privalova,31,2000,10/01/2000,1,0,1,2
Gabriela Szabo,24,2000,10/01/2000,1,0,1,2
Gete Wami,25,2000,10/01/2000,0,1,1,2
Elisabeth Görgl,28,2010,02/28/2010,0,0,2,2
Lindsey Kildow-Vonn,25,2010,02/28/2010,1,0,1,2
Ivica Kostelic,30,2010,02/28/2010,0,2,0,2
Julia Mancuso,25,2010,02/28/2010,0,2,0,2
Tina Maze,26,2010,02/28/2010,0,2,0,2
Maria Riesch,25,2010,02/28/2010,2,0,0,2
Michaela Dorfmeister,32,2006,02/26/2006,2,0,0,2
Janica Kostelic,24,2006,02/26/2006,1,1,0,2
Hermann Maier,33,2006,02/26/2006,0,1,1,2
Benjamin Raich,27,2006,02/26/2006,2,0,0,2
Marlies Schild,24,2006,02/26/2006,0,1,1,2
Rainer Schönfelder,28,2006,02/26/2006,0,0,2,2
Kjetil André Aamodt,30,2002,02/24/2002,2,0,0,2
Renate Götschl,26,2002,02/24/2002,0,1,1,2
Lasse Kjus,31,2002,02/24/2002,0,1,1,2
Bode Miller,24,2002,02/24/2002,0,2,0,2
Anja Pärson,20,2002,02/24/2002,0,1,1,2
Benjamin Raich,23,2002,02/24/2002,0,0,2,2
Ki Bo-Bae,24,2012,08/12/2012,2,0,0,2
Oh Jin-Hyek,30,2012,08/12/2012,1,0,1,2
Park Gyeong-Mo,32,2008,08/24/2008,1,1,0,2
Park Seong-Hyeon,25,2008,08/24/2008,1,1,0,2
Yun Ok-Hui,23,2008,08/24/2008,1,0,1,2
Zhang Juanjuan,27,2008,08/24/2008,1,1,0,2
Lee Seong-Jin,19,2004,08/29/2004,1,1,0,2
Park Seong-Hyeon,21,2004,08/29/2004,2,0,0,2
Kim Nam-Sun,20,2000,10/01/2000,1,1,0,2
Kim Su-Nyeong,29,2000,10/01/2000,1,0,1,2
Vic Wunderle,24,2000,10/01/2000,0,1,1,2
Yun Mi-Jin,17,2000,10/01/2000,2,0,0,2
Artur Aleksanyan,20,2012,08/12/2012,0,0,1,1
Valeriy Andriitsev,25,2012,08/12/2012,0,1,0,1
Rövs?n Bayramov,25,2012,08/12/2012,0,1,0,1
Jordan Burroughs,24,2012,08/12/2012,1,0,0,1
Clarissa Chun,30,2012,08/12/2012,0,0,1,1
Yogeshwar Dutt,29,2012,08/12/2012,0,0,1,1
Jaime Espinal,27,2012,08/12/2012,0,1,0,1
Johan Eurén,27,2012,08/12/2012,0,0,1,1
Karam Gaber,32,2012,08/12/2012,0,1,0,1
Daniyal Gadzhiyev,26,2012,08/12/2012,0,0,1,1
Komeil Ghasemi,24,2012,08/12/2012,0,0,1,1
Giorgi Gogshelidze,32,2012,08/12/2012,0,0,1,1
Sadegh Goudarzi,24,2012,08/12/2012,0,1,0,1
Steeve Guénot,26,2012,08/12/2012,0,0,1,1
Carol Huynh,31,2012,08/12/2012,0,0,1,1
Kaori Icho,28,2012,08/12/2012,1,0,0,1
Damian Janikowski,23,2012,08/12/2012,0,0,1,1
Jing Ruixue,24,2012,08/12/2012,0,1,0,1
Arsen Julfalakyan,25,2012,08/12/2012,0,1,0,1
Riza Kayaalp,22,2012,08/12/2012,0,0,1,1
Aleksandras Kazakevicius,26,2012,08/12/2012,0,0,1,1
Vladimer Khinchegashvili,21,2012,08/12/2012,0,1,0,1
Alan Khugayev,23,2012,08/12/2012,1,0,0,1
Kim Hyeon-Wu,23,2012,08/12/2012,1,0,0,1
Besik Kudukhov,25,2012,08/12/2012,0,1,0,1
Sushil Kumar,29,2012,08/12/2012,0,1,0,1
Zaur Kuramagomedov,24,2012,08/12/2012,0,0,1,1
Ehsan Naser Lashgari,26,2012,08/12/2012,0,0,1,1
Revaz Lashkhi,24,2012,08/12/2012,0,1,0,1
Jimmy Lidberg,30,2012,08/12/2012,0,0,1,1
Liván López,30,2012,08/12/2012,0,0,1,1
Mijaín López,29,2012,08/12/2012,1,0,0,1
Tamás Lorincz,25,2012,08/12/2012,0,1,0,1
Bilyal Makhov,24,2012,08/12/2012,0,0,1,1
Gyuzel Manyurova,34,2012,08/12/2012,0,0,1,1
Dato Marsagishvili,21,2012,08/12/2012,0,0,1,1
Ryutaro Matsumoto,26,2012,08/12/2012,0,0,1,1
Péter Módos,24,2012,08/12/2012,0,0,1,1
Davit Modzmanashvili,25,2012,08/12/2012,0,1,0,1
Heiki Nabi,27,2012,08/12/2012,0,1,0,1
Omid Noroozi,26,2012,08/12/2012,1,0,0,1
Hitomi Obara,31,2012,08/12/2012,1,0,0,1
Dzhamal Otarsultanov,25,2012,08/12/2012,1,0,0,1
Xetaq Qazyumov,29,2012,08/12/2012,0,0,1,1
Yuliya Ratkeviç,27,2012,08/12/2012,0,0,1,1
Jackeline Rentería,26,2012,08/12/2012,0,0,1,1
Ghasem Rezaei,26,2012,08/12/2012,1,0,0,1
Coleman Scott,26,2012,08/12/2012,0,0,1,1
Mingiyan Semyonov,22,2012,08/12/2012,0,0,1,1
Soronzonboldyn Battsetseg,22,2012,08/12/2012,0,0,1,1
Hamid Soryan,26,2012,08/12/2012,1,0,0,1
Mariya Stadnik,24,2012,08/12/2012,0,1,0,1
S?rif S?rifov,23,2012,08/12/2012,1,0,0,1
Akzhurek Tanatarov,25,2012,08/12/2012,0,0,1,1
Artur Taymazov,33,2012,08/12/2012,1,0,0,1
Soslan Tigiyev,28,2012,08/12/2012,0,0,1,1
Rustam Totrov,28,2012,08/12/2012,0,1,0,1
Denis Tsargush,24,2012,08/12/2012,0,0,1,1
Manuchar Tskhadaia,27,2012,08/12/2012,0,0,1,1
Maider Unda,35,2012,08/12/2012,0,0,1,1
Jake Varner,26,2012,08/12/2012,1,0,0,1
Tonya Verbeek,34,2012,08/12/2012,0,1,0,1
Roman Vlasov,21,2012,08/12/2012,1,0,0,1
Lyubov Volosova,29,2012,08/12/2012,0,0,1,1
Nataliya Vorobyova,21,2012,08/12/2012,1,0,0,1
Yang Kyong-Il,23,2012,08/12/2012,0,0,1,1
Tatsuhiro Yonemitsu,26,2012,08/12/2012,1,0,0,1
Saori Yoshida,29,2012,08/12/2012,1,0,0,1
Shinichi Yumoto,27,2012,08/12/2012,0,0,1,1
Stanka Zlateva,29,2012,08/12/2012,0,1,0,1
Emin ?hm?dov,25,2012,08/12/2012,0,0,1,1
Togrul ?sg?rov,19,2012,08/12/2012,1,0,0,1
Yusuf Abdusalomov,30,2008,08/24/2008,0,1,0,1
Bakhtiyar Akhmedov,21,2008,08/24/2008,0,1,0,1
Islam-Beka Albiyev,19,2008,08/24/2008,1,0,0,1
Roman Amoyan,24,2008,08/24/2008,0,0,1,1
Nazmi Avluca,31,2008,08/24/2008,0,0,1,1
Khasan Baroyev,25,2008,08/24/2008,0,1,0,1
Mavlet Batyrov,24,2008,08/24/2008,1,0,0,1
Rövs?n Bayramov,21,2008,08/24/2008,0,1,0,1
Kanat Begaliyev,24,2008,08/24/2008,0,1,0,1
Henry Cejudo,21,2008,08/24/2008,1,0,0,1
Chang Yongxiang,24,2008,08/24/2008,0,1,0,1
Taras Danko,28,2008,08/24/2008,0,0,1,1
Mirko Englich,29,2008,08/24/2008,0,1,0,1
Vasyl Fedoryshyn,27,2008,08/24/2008,0,1,0,1
Zoltán Fodor,23,2008,08/24/2008,0,1,0,1
Murad Gaydarov,28,2008,08/24/2008,0,0,1,1
Giorgi Gogshelidze,28,2008,08/24/2008,0,0,1,1
Christophe Guénot,29,2008,08/24/2008,0,0,1,1
Steeve Guénot,22,2008,08/24/2008,1,0,0,1
Kyoko Hamaguchi,30,2008,08/24/2008,0,0,1,1
Carol Huynh,27,2008,08/24/2008,1,0,0,1
Chiharu Icho,26,2008,08/24/2008,0,1,0,1
Kaori Icho,24,2008,08/24/2008,1,0,0,1
Manuchar K'virk'elia,29,2008,08/24/2008,1,0,0,1
Alyona Kartashova,26,2008,08/24/2008,0,1,0,1
Georgy Ketoyev,22,2008,08/24/2008,0,0,1,1
Aslanbek Khushtov,28,2008,08/24/2008,1,0,0,1
Besik Kudukhov,22,2008,08/24/2008,0,0,1,1
Sushil Kumar,25,2008,08/24/2008,0,0,1,1
Mijaín López,25,2008,08/24/2008,1,0,0,1
Aset Mambetov,26,2008,08/24/2008,0,0,1,1
Nazyr Mankiyev,23,2008,08/24/2008,1,0,0,1
Tomohiro Matsunaga,28,2008,08/24/2008,0,1,0,1
Iryna Merleni-Mykulchyn,26,2008,08/24/2008,0,0,1,1
Randi Miller,24,2008,08/24/2008,0,0,1,1
Revaz Mindorashvili,32,2008,08/24/2008,1,0,0,1
Andrea Minguzzi,26,2008,08/24/2008,1,0,0,1
Mindaugas Mizgaitis,28,2008,08/24/2008,0,0,1,1
Seyed Mohammadi,28,2008,08/24/2008,0,0,1,1
Sharvani Muradov,23,2008,08/24/2008,1,0,0,1
David Musulbes,36,2008,08/24/2008,0,0,1,1
Marid Mutalimov,28,2008,08/24/2008,0,0,1,1
Park Eun-Chul,27,2008,08/24/2008,0,0,1,1
Yury Patrikeyev,28,2008,08/24/2008,0,0,1,1
Xetaq Qazyumov,25,2008,08/24/2008,0,0,1,1
Jackeline Rentería,22,2008,08/24/2008,0,0,1,1
Vitaliy R?himov,23,2008,08/24/2008,0,1,0,1
Ramazan Sahin,25,2008,08/24/2008,1,0,0,1
Buvaisa Saytiyev,33,2008,08/24/2008,1,0,0,1
Mikhail Semyonov,24,2008,08/24/2008,0,0,1,1
Yelena Shalygina,21,2008,08/24/2008,0,0,1,1
Andriy Stadnik,26,2008,08/24/2008,0,1,0,1
Mariya Stadnik,20,2008,08/24/2008,0,0,1,1
Artur Taymazov,29,2008,08/24/2008,1,0,0,1
Nurbakyt Tengizbayev,25,2008,08/24/2008,0,0,1,1
Kiril Terziev,24,2008,08/24/2008,0,0,1,1
Soslan Tigiyev,24,2008,08/24/2008,0,1,0,1
Taymuraz Tigiyev,26,2008,08/24/2008,0,1,0,1
Otar Tushishvili,30,2008,08/24/2008,0,0,1,1
Ruslan Tyumenbayev,22,2008,08/24/2008,0,0,1,1
Armen Vardanian,25,2008,08/24/2008,0,0,1,1
Radoslav Velikov,24,2008,08/24/2008,0,0,1,1
Tonya Verbeek,31,2008,08/24/2008,0,0,1,1
Wang Jiao,20,2008,08/24/2008,1,0,0,1
Adam Wheeler,27,2008,08/24/2008,0,0,1,1
Agnieszka Wieszczek,25,2008,08/24/2008,0,0,1,1
Xu Li,18,2008,08/24/2008,0,1,0,1
Yavor Yanakiev,23,2008,08/24/2008,0,0,1,1
Saori Yoshida,25,2008,08/24/2008,1,0,0,1
Kenichi Yumoto,23,2008,08/24/2008,0,0,1,1
Stanka Zlateva,25,2008,08/24/2008,0,1,0,1
Stephen Abas,26,2004,08/29/2004,0,1,0,1
Ara Abrahamian,29,2004,08/29/2004,0,1,0,1
Khasan Baroyev,21,2004,08/29/2004,1,0,0,1
Mavlet Batyrov,20,2004,08/29/2004,1,0,0,1
Aleksandr Dokturishivili,24,2004,08/29/2004,1,0,0,1
Seref Eroglu,28,2004,08/29/2004,0,1,0,1
Iván Fundora,28,2004,08/29/2004,0,0,1,1
Karam Gaber,24,2004,08/29/2004,1,0,0,1
Rulon Gardner,33,2004,08/29/2004,0,0,1,1
Khadzhimurat Gatsalov,21,2004,08/29/2004,1,0,0,1
Lise Golliot-Legrand,27,2004,08/29/2004,0,0,1,1
Anna Gomis,30,2004,08/29/2004,0,0,1,1
Kyoko Hamaguchi,26,2004,08/29/2004,0,0,1,1
Ali Reza Heidari,28,2004,08/29/2004,0,0,1,1
Magamed Ibragimov,21,2004,08/29/2004,0,1,0,1
Chiharu Icho,22,2004,08/29/2004,0,1,0,1
Kaori Icho,20,2004,08/29/2004,1,0,0,1
Kenji Inoue,27,2004,08/29/2004,0,0,1,1
Jeong Ji-Hyeon,21,2004,08/29/2004,1,0,0,1
Jamill Kelly,26,2004,08/29/2004,0,1,0,1
Atryom Kyuregyan,27,2004,08/29/2004,0,0,1,1
Gennady Laliyev,25,2004,08/29/2004,0,1,0,1
István Majoros,30,2004,08/29/2004,1,0,0,1
Vyacheslav Makarenko,28,2004,08/29/2004,0,0,1,1
Gaydar Mamedaliyev,30,2004,08/29/2004,0,1,0,1
Mkhitar Manukyan,31,2004,08/29/2004,0,0,1,1
Gyuzel Manyurova,26,2004,08/29/2004,0,1,0,1
Sara McMann,23,2004,08/29/2004,0,1,0,1
Iryna Merleni-Mykulchyn,22,2004,08/29/2004,1,0,0,1
Patricia Miranda,25,2004,08/29/2004,0,0,1,1
Aleksey Mishin,25,2004,08/29/2004,1,0,0,1
Roberto Monzón,26,2004,08/29/2004,0,1,0,1
Masoud Moustafa Gokar,26,2004,08/29/2004,0,1,0,1
Mun Ui-Je,29,2004,08/29/2004,0,1,0,1
Makhach Murtazaliyev,20,2004,08/29/2004,0,0,1,1
F?rid M?nsurov,22,2004,08/29/2004,1,0,0,1
Armen Nazaryan,30,2004,08/29/2004,0,0,1,1
Ramaz Nozadze,20,2004,08/29/2004,0,1,0,1
Mehmet Özal,30,2004,08/29/2004,0,0,1,1
Aydin Polatçi,27,2004,08/29/2004,0,0,1,1
Yandro Quintana,24,2004,08/29/2004,1,0,0,1
Ali Reza Rezaei,28,2004,08/29/2004,0,1,0,1
Varteres Samurgashev,24,2004,08/29/2004,0,0,1,1
Cael Sanderson,25,2004,08/29/2004,1,0,0,1
Buvaisa Saytiyev,29,2004,08/29/2004,1,0,0,1
Sazhid Sazhidov,24,2004,08/29/2004,0,0,1,1
Chikara Tanabe,29,2004,08/29/2004,0,0,1,1
Artur Taymazov,25,2004,08/29/2004,1,0,0,1
Elbrus Tedieiev,29,2004,08/29/2004,1,0,0,1
Georgy Tsurtsumia,23,2004,08/29/2004,0,1,0,1
Tonya Verbeek,27,2004,08/29/2004,0,1,0,1
Wang Xu,18,2004,08/29/2004,1,0,0,1
Marko Yli-Hannuksela,30,2004,08/29/2004,0,1,0,1
Saori Yoshida,21,2004,08/29/2004,1,0,0,1
Namiq Abdullayev,29,2000,10/01/2000,1,0,0,1
Filiberto Azcuy,27,2000,10/01/2000,1,0,0,1
Sándor István Bárdosi,23,2000,10/01/2000,0,1,0,1
Serafim Barzakov,25,2000,10/01/2000,0,1,0,1
Islam Bayramukov,29,2000,10/01/2000,0,1,0,1
Adem Bereket,27,2000,10/01/2000,0,0,1,1
Terry Brands,32,2000,10/01/2000,0,0,1,1
Yevhen Buslovych,28,2000,10/01/2000,0,1,0,1
Ak'ak'i Chachua,31,2000,10/01/2000,0,0,1,1
Ali Reza Dabir,23,2000,10/01/2000,1,0,0,1
Dmitry Debelka,24,2000,10/01/2000,0,0,1,1
Rulon Gardner,29,2000,10/01/2000,1,0,0,1
Arsen Gitinov,23,2000,10/01/2000,0,1,0,1
Aleksey Glushkov,25,2000,10/01/2000,0,0,1,1
Sammie Henson,29,2000,10/01/2000,0,1,0,1
Mogamed Ibragimov,26,2000,10/01/2000,0,0,1,1
Daniel Igali,26,2000,10/01/2000,1,0,0,1
Jang Jae-Seong,25,2000,10/01/2000,0,0,1,1
Eldar K'urt'anidze,28,2000,10/01/2000,0,0,1,1
Kang Yong-Gyun,26,2000,10/01/2000,0,0,1,1
Amiran Kardanov,24,2000,10/01/2000,0,0,1,1
Murat Kardanov,29,2000,10/01/2000,1,0,0,1
Aleksandr Karelin,33,2000,10/01/2000,0,1,0,1
Kim In-Seop,27,2000,10/01/2000,0,1,0,1
Matt Lindland,30,2000,10/01/2000,0,1,0,1
Mikael Ljungberg,30,2000,10/01/2000,1,0,0,1
Garrett Lowney,20,2000,10/01/2000,0,0,1,1
Juan Luis Marén,29,2000,10/01/2000,0,1,0,1
Lincoln McIlravy,26,2000,10/01/2000,0,0,1,1
Mun Ui-Je,25,2000,10/01/2000,0,1,0,1
Sagid Murtazaliyev,26,2000,10/01/2000,1,0,0,1
David Musulbes,28,2000,10/01/2000,1,0,0,1
Katsuhiko Nagata,26,2000,10/01/2000,0,1,0,1
Armen Nazaryan,26,2000,10/01/2000,1,0,0,1
Lázaro Rivas,25,2000,10/01/2000,0,1,0,1
Alexis Rodríguez,22,2000,10/01/2000,0,0,1,1
Yoel Romero,23,2000,10/01/2000,0,1,0,1
David Saldadze,22,2000,10/01/2000,0,1,0,1
Varteres Samurgashev,21,2000,10/01/2000,1,0,0,1
